mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
Ill_Stokes,192,64,3,126.36,51.111,49.139,1.69072,dense clusters: 0 / 3007 (0%),
mult_dcop_03,96,32,3,417.846,266.947,31.113,387.275,dense clusters: 3248 / 3483 (93.2529%),
mult_dcop_02,96,32,3,428.224,267.545,31.15,83.9871,dense clusters: 3244 / 3479 (93.2452%),
mult_dcop_01,96,32,3,417.875,267.438,31.14,401.23,dense clusters: 3244 / 3479 (93.2452%),
rajat22,96,32,3,266.672,161.105,39.636,28.6866,dense clusters: 450 / 8194 (5.49182%),
CAG_mat1916,224,56,4,196.88,73.194,13.414,1.99692,dense clusters: 165 / 207 (79.7101%),
vsp_befref_fxm_2_4_air02,192,64,3,1805.53,1516.51,59.539,76.1466,dense clusters: 756 / 3440 (21.9767%),
skirt_id_764,224,56,4,117.318,42.416,28.201,1.00586,dense clusters: 121 / 1541 (7.85204%),
skirt_id_882,224,56,4,115.965,42.765,28.272,1.08931,dense clusters: 121 / 1541 (7.85204%),
delaunay_n15,192,64,3,193.166,87.409,55.192,1.27642,dense clusters: 1 / 5099 (0.0196117%),
bfly,192,64,3,275.075,81.845,55.765,2.0118,dense clusters: 0 / 7617 (0%),
torsion1,192,64,3,234.118,88.451,51.598,0.797248,dense clusters: 4 / 5390 (0.0742115%),
obstclae,96,32,3,157.403,58.643,53.701,0.844884,dense clusters: 4 / 8433 (0.0474327%),
lowThrust_5,256,64,4,122.608,37.822,42.103,33.3372,dense clusters: 701 / 3464 (20.2367%),
SiNa,192,64,3,102.579,41.515,54.537,7.3698,dense clusters: 572 / 842 (67.9335%),
jnlbrng1,192,64,3,226.646,89.385,48.965,0.826812,dense clusters: 0 / 5339 (0%),
chem_master1,96,32,3,172.497,60.702,57.743,0.794959,dense clusters: 0 / 8517 (0%),
c-52,224,56,4,161.763,43.505,45.499,8.3122,dense clusters: 1 / 10728 (0.0093214%),
c-51,224,56,4,150.518,41.686,46.552,9.3971,dense clusters: 1 / 10380 (0.00963391%),
vsp_barth5_1Ksep_50in_5Kout,192,64,3,187.133,80.072,65.684,2.80921,dense clusters: 0 / 6373 (0%),
minsurfo,192,64,3,219.977,85.236,56.881,0.836182,dense clusters: 2 / 6082 (0.0328839%),
mario001,192,64,3,274.196,96.336,46.139,1.05853,dense clusters: 0 / 4367 (0%),
